Tutorial Group,Student ID,Name,School,Gender,CGPA,Team Assigned
G-1,235,Ming Zhang,CCDS,Male,04.06,Team 1
G-1,2326,Vivi Dwi,CoB (NBS),Female,3.95,Team 1
G-1,3989,Anthony Liu,WKW SCI,Male,4.15,Team 1
G-1,5119,Nhung Vu,ADM,Female,04.04,Team 1
G-1,2091,Adlan Bin Rahman,EEE,Male,4.2,Team 1
G-1,1075,Felix Yip,CoB (NBS),Male,04.08,Team 2
G-1,2417,Truong Minh Chau,SSS,Female,3.88,Team 2
G-1,4338,Sana Jain,SPMS,Female,4.22,Team 2
G-1,4520,Henry Foster,EEE,Male,4.11,Team 2
G-1,2650,Nurul Shafika,SoH,Female,04.09,Team 2
G-1,3148,Gabriel Young,EEE,Male,3.88,Team 3
G-1,592,Zara Chang,MSE,Female,4.11,Team 3
G-1,4479,Amelia Kim,CCDS,Female,4.11,Team 3
G-1,1841,Jett Morales,MAE,Male,4.12,Team 3
G-1,659,Maria Ivanovna,SSS,Female,4.2,Team 3
G-1,3628,Omer Ahmed,EEE,Male,04.06,Team 4
G-1,567,Isabella Thompson,CoB (NBS),Female,04.03,Team 4
G-1,1329,Nguyen Van Sam,NIE,Male,3.85,Team 4
G-1,945,Han Li,MAE,Female,4.1,Team 4
G-1,2069,Kathy Lau,SSS,Female,4.48,Team 4
G-1,1417,Darren Lee,CoE,Male,4.12,Team 5
G-1,2353,Karen Wong,SBS,Female,3.95,Team 5
G-1,5703,Karen Lee,SPMS,Female,4.12,Team 5
G-1,288,Ajay Verma,CoB (NBS),Male,04.01,Team 5
G-1,3930,Xun Wei,EEE,Female,4.18,Team 5
G-1,4576,Jie Zhang,EEE,Male,04.03,Team 6
G-1,1555,Prerna Gupta,MAE,Female,04.04,Team 6
G-1,5477,Vikram Desai,SoH,Male,04.09,Team 6
G-1,162,Lila Patel,SSS,Female,04.07,Team 6
G-1,809,Nisha Das,CoB (NBS),Female,4.26,Team 6
G-1,5002,Aarav Singh,CCDS,Male,04.02,Team 7
G-1,4563,Anjali Patel,WKW SCI,Female,04.01,Team 7
G-1,527,Mohit Desai,EEE,Male,04.06,Team 7
